atp_key,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,w_ln,l_ln
1,2010-301,Auckland,Hard,28,A,20100111,1,103752,,,Simon Greul,R,185,GER,28.74743326,60,737,103893,,Q,Paolo Lorenzi,R,183,ITA,28.07392197,86,577,6-3 6-3,3,R32,87,2,4,57,31,25,14,9,8,9,0,6,64,42,22,11,9,8,12,Greul,Lorenzi
2,2010-301,Auckland,Hard,28,A,20100111,2,104545,,,John Isner,R,206,USA,24.7118412,33,1067,104198,,,Guillermo Garcia Lopez,R,188,ESP,26.60643395,43,954,4-6 7-6(3) 6-2,3,R32,120,11,2,85,56,45,17,15,3,5,5,5,89,56,37,22,15,4,7,Isner,Garcia Lopez
3,2010-301,Auckland,Hard,28,A,20100111,3,104338,7,,Juan Monaco,R,185,ARG,25.78781656,30,1170,104547,,,Horacio Zeballos,L,188,ARG,24.70910335,48,904,6-3 6-0,3,R32,63,6,3,44,28,25,8,8,2,2,4,2,53,29,18,8,7,5,9,Monaco,Zeballos
4,2010-301,Auckland,Hard,28,A,20100111,4,103967,,Q,Michael Lammer,R,185,SUI,27.80013689,209,223,105554,,Q,Daniel Evans,R,175,GBR,19.6386037,266,167,1-6 6-2 6-4,3,R32,121,1,4,98,56,34,20,13,7,11,5,3,67,35,21,18,12,1,5,Lammer,Evans
5,2010-301,Auckland,Hard,28,A,20100111,5,104907,,WC,Jose Rubin Statham,R,183,NZL,22.71594798,332,126,104368,,WC,Daniel King Turner,R,190,NZL,25.65913758,263,170,6-2 7-5,3,R32,96,1,4,73,48,33,10,10,7,9,10,3,75,47,29,10,10,12,17,Rubin Statham,King Turner
6,2010-301,Auckland,Hard,28,A,20100111,6,103656,8,,Albert Montanes,R,175,ESP,29.12525667,31,1140,105084,,Q,James Lemke,R,,AUS,21.96303901,456,73,6-1 7-5,3,R32,72,5,1,58,36,27,9,9,2,4,0,5,60,38,19,7,10,0,6,Montanes,Lemke
7,2010-301,Auckland,Hard,28,A,20100111,7,104259,5,,Philipp Kohlschreiber,R,178,GER,26.23956194,27,1260,105438,,LL,Inigo Cervantes Huegun,R,,ESP,20.11498973,235,189,6-2 6-3,3,R32,63,1,0,49,33,21,15,9,2,3,1,5,50,24,18,8,8,3,7,Kohlschreiber,Cervantes Huegun
8,2010-301,Auckland,Hard,28,A,20100111,8,105064,,,Thomaz Bellucci,L,188,BRA,22.03422313,34,1066,103843,,,Marco Chiudinelli,R,185,SUI,28.33675565,56,775,6-3 6-3,3,R32,64,8,3,54,37,29,9,9,1,1,3,0,53,34,20,11,9,1,4,Bellucci,Chiudinelli
9,2010-301,Auckland,Hard,28,A,20100111,9,102967,,,Marc Gicquel,R,188,FRA,32.78576318,58,750,103694,,,Olivier Rochus,R,168,BEL,28.98015058,57,769,6-3 6-2,3,R32,64,5,2,59,32,23,16,9,0,1,1,3,47,23,13,12,8,6,10,Gicquel,Rochus
10,2010-301,Auckland,Hard,28,A,20100111,10,103781,6,,Jurgen Melzer,L,183,AUT,28.64065708,28,1260,104926,,,Fabio Fognini,R,178,ITA,22.63655031,54,790,5-7 6-3 6-2,3,R32,105,8,6,82,50,38,21,15,0,1,3,7,93,45,34,23,14,6,9,Melzer,Fognini
