atp_key,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,W LN,W Key,L LN,L Key
2902,2013-319,Kitzbuhel,Clay,28,A,20130728,1,104919,,,Leonardo Mayer,R,188,ARG,26.20670773,78,641,104932,,,Kenny De Schepper,L,203,FRA,26.16837782,69,716,6-4 6-4,3,R32,84,4,1,54,33,27,14,10,0,0,3,4,78,45,30,16,10,10,12,Mayer,Mayer L.,De Schepper,De Schepper K.
2903,2013-319,Kitzbuhel,Clay,28,A,20130728,2,104547,,,Horacio Zeballos,L,188,ARG,28.25462012,54,862,104770,,Q,Martin Fischer,R,,AUT,27.02258727,233,201,7-5 1-6 6-3,3,R32,125,1,1,98,71,45,14,14,12,16,4,2,81,44,30,21,14,5,9,Zeballos,Zeballos H.,Fischer,Fischer M.
2904,2013-319,Kitzbuhel,Clay,28,A,20130728,3,104719,8,,Marcel Granollers,R,190,ESP,27.29637235,53,870,106207,,WC,Mate Pavic,L,,CRO,20.06844627,360,107,7-6(2) 6-2,3,R32,115,6,3,83,49,34,22,10,6,6,2,3,73,39,26,19,10,6,8,Granollers,Granollers M.,Pavic,Pavic M.
2905,2013-319,Kitzbuhel,Clay,28,A,20130728,4,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.15195072,72,686,105064,,,Thomaz Bellucci,L,188,BRA,25.5797399,115,495,6-7(1) 6-3 7-6(4),3,R32,171,3,12,132,65,45,30,17,10,15,9,3,116,62,38,27,16,6,12,Garcia Lopez,Garcia Lopez G.,Bellucci,Bellucci T.
2906,2013-319,Kitzbuhel,Clay,28,A,20130728,5,104898,,,Robin Haase,R,190,NED,26.31348392,68,717,105558,,,Guillaume Rufin,R,188,FRA,23.17590691,96,567,6-4 7-6(4),3,R32,110,10,0,81,51,38,11,11,3,6,2,7,88,48,32,15,11,7,11,Haase,Haase R.,Rufin,Rufin G.
2907,2013-319,Kitzbuhel,Clay,28,A,20130728,6,104978,,,Daniel Brands,R,196,GER,26.03422313,52,873,104122,5,,Carlos Berlocq,R,183,ARG,30.48323066,43,920,7-6(4) 2-6 6-2,3,R32,117,3,2,84,43,33,23,14,0,2,2,1,82,62,47,11,14,4,6,Brands,Brands D.,Berlocq,Berlocq C.
2908,2013-319,Kitzbuhel,Clay,28,A,20130728,7,103656,7,,Albert Montanes,R,175,ESP,32.67077344,45,910,104494,,,Adrian Ungur,R,178,ROU,28.5065024,92,587,6-4 6-2,3,R32,71,8,1,52,37,29,10,9,2,2,1,3,59,35,23,11,9,3,6,Montanes,Montanes A.,Ungur,Ungur A.
2909,2013-319,Kitzbuhel,Clay,28,A,20130728,8,103812,,,Victor Hanescu,R,198,ROU,32.02190281,46,909,105379,,,Aljaz Bedene,R,181,SLO,24.03011636,106,531,6-2 6-1,3,R32,60,3,0,41,34,29,3,8,0,0,2,2,43,18,12,8,7,4,8,Hanescu,Hanescu V.,Bedene,Bedene A.
2910,2013-319,Kitzbuhel,Clay,28,A,20130728,9,106233,,WC,Dominic Thiem,R,,AUT,19.90143737,268,167,105723,,,Andrey Kuznetsov,R,185,RUS,22.4312115,82,625,6-2 7-5,3,R32,79,4,4,69,36,29,16,10,1,2,2,3,56,31,21,12,10,4,8,Thiem,Thiem D.,Kuznetsov,Kuznetsov A.
2911,2013-319,Kitzbuhel,Clay,28,A,20130728,10,104225,,Q,Jan Hajek,R,180,CZE,29.97672827,135,430,105060,,LL,Aldin Setkic,R,193,BIH,25.60438056,223,210,6-2 6-1,3,R32,50,5,1,41,26,21,9,7,4,4,3,4,47,28,16,5,8,0,5,Hajek,Hajek J.,Setkic,Setkic A.
2912,2013-319,Kitzbuhel,Clay,28,A,20130728,11,104593,,,Daniel Gimeno Traver,R,185,ESP,27.97535934,62,777,105099,,Q,Antonio Veic,R,180,CRO,25.44284736,196,245,6-1 6-3,3,R32,59,4,0,42,24,20,13,8,2,2,1,3,46,33,15,6,8,2,6,Gimeno Traver,Gimeno Traver D.,Veic,Veic A.
2913,2013-319,Kitzbuhel,Clay,28,A,20130728,12,104890,,WC,Andreas Haider Maurer,R,190,AUT,26.35455168,91,595,110602,,Q,Dennis Novak,R,,AUT,19.91786448,565,47,6-4 6-4,3,R32,77,4,2,55,41,34,7,10,1,1,6,3,66,32,24,16,10,3,5,Haider Maurer,Haider Maurer A.,Novak,Novak D.
2914,2013-319,Kitzbuhel,Clay,28,A,20130728,13,104919,,,Leonardo Mayer,R,188,ARG,26.20670773,78,641,104259,1,,Philipp Kohlschreiber,R,178,GER,29.78507871,26,1490,6-4 7-6(4),3,R16,104,1,5,73,43,33,19,11,2,3,0,1,69,36,24,22,11,0,2,Mayer,Mayer L.,Kohlschreiber,Kohlschreiber P.
2915,2013-319,Kitzbuhel,Clay,28,A,20130728,14,104719,8,,Marcel Granollers,R,190,ESP,27.29637235,53,870,104547,,,Horacio Zeballos,L,188,ARG,28.25462012,54,862,6-0 2-0 RET,3,R16,26,0,0,17,11,10,6,4,0,0,0,0,24,19,4,1,4,2,6,Granollers,Granollers M.,Zeballos,Zeballos H.
2916,2013-319,Kitzbuhel,Clay,28,A,20130728,15,104269,3,,Fernando Verdasco,L,188,ESP,29.70294319,33,1235,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.15195072,72,686,6-2 7-6(7),3,R16,105,9,5,65,39,27,14,10,4,6,2,7,92,56,36,11,10,13,17,Verdasco,Verdasco F.,Garcia Lopez,Garcia Lopez G.
2917,2013-319,Kitzbuhel,Clay,28,A,20130728,16,104898,,,Robin Haase,R,190,NED,26.31348392,68,717,104978,,,Daniel Brands,R,196,GER,26.03422313,52,873,6-4 6-1,3,R16,67,7,3,53,33,26,10,8,6,6,4,2,54,26,16,13,9,3,7,Haase,Haase R.,Brands,Brands D.
2918,2013-319,Kitzbuhel,Clay,28,A,20130728,17,103656,7,,Albert Montanes,R,175,ESP,32.67077344,45,910,103812,,,Victor Hanescu,R,198,ROU,32.02190281,46,909,7-6(2) 3-6 7-6(5),3,R16,153,11,7,126,67,51,29,16,9,12,4,2,113,81,57,19,17,5,7,Montanes,Montanes A.,Hanescu,Hanescu V.
2919,2013-319,Kitzbuhel,Clay,28,A,20130728,18,106233,,WC,Dominic Thiem,R,,AUT,19.90143737,268,167,103781,4,,Jurgen Melzer,L,183,AUT,32.18617385,34,1220,7-5 6-3,3,R16,76,1,1,61,26,21,23,11,3,4,0,3,53,37,23,9,10,1,4,Thiem,Thiem D.,Melzer,Melzer J.
2920,2013-319,Kitzbuhel,Clay,28,A,20130728,19,104593,,,Daniel Gimeno Traver,R,185,ESP,27.97535934,62,777,104225,,Q,Jan Hajek,R,180,CZE,29.97672827,135,430,6-3 6-3,3,R16,73,5,1,66,34,25,16,9,4,5,1,1,52,35,17,10,9,2,6,Gimeno Traver,Gimeno Traver D.,Hajek,Hajek J.
2921,2013-319,Kitzbuhel,Clay,28,A,20130728,20,104338,2,,Juan Monaco,R,185,ARG,29.33333333,31,1270,104890,,WC,Andreas Haider Maurer,R,190,AUT,26.35455168,91,595,6-3 6-4,3,R16,75,0,1,53,33,23,8,9,1,4,5,3,57,26,16,9,10,7,13,Monaco,Monaco J.,Haider Maurer,Haider Maurer A.
