"","stat_type","class_ind","statvalue_all"
"1","Ace Pct","Dog",0.0712563332309705
"2","Ace Pct","Favorite",0.0837341694937162
"3","DF Pct","Dog",0.0393277893769027
"4","DF Pct","Favorite",0.027450944796739
"5","1st In Pct","Dog",0.601782930325916
"6","1st In Pct","Favorite",0.638128715693236
"7","1st Won Pct","Dog",0.681171294315553
"8","1st Won Pct","Favorite",0.75239655828153
"9","2nd Won Pct","Dog",0.46102598726902
"10","2nd Won Pct","Favorite",0.564033530511832
"11","Break Faced Pct","Dog",0.10157892598478
"12","Break Faced Pct","Favorite",0.0648980728826279
"13","Break Saved Pct","Dog",0.541967211431538
"14","Break Saved Pct","Favorite",0.624460958378202
"15","Return Won Pct","Dog",0.315063191811351
"16","Return Won Pct","Favorite",0.404738965676222
"17","Winner / Unforced Ratio","Dog",0.834040403810152
"18","Winner / Unforced Ratio","Favorite",1.18451253237194
